order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD144724,ID0387152966,2019-07-02,Thompson,"[('Toshika 750', 1), ('Universe Note', 1), ('iStream', 1)]",7920.0,65.79,-37.7988116,144.94891819999995,10,7193.79,Winter,True,1.5516,"not as described described by the seller as ""minimal to no physical damage."" the phone was anything but, it had very deep gouges along the frame and the screen was covered in small abrasions and scratches. clearly this phone was used without a case before and was not cared for.",0.0
ORD032641,ID3313134377,2019-01-10,Nickolson,"[('iAssist Line', 2), ('Alcon 10', 2), ('pearTV', 2)]",34970.0,53.45,-37.8173844,144.9674523,10,31526.45,Summer,False,0.2285,sold with bad battery you can sit and watch the battery life decrease. it’s almost 1% per minute. really? how can this be sold without any warning about crappy battery still inserted?,0.0
ORD015944,ID0847530555,2019-04-05,Nickolson,"[('Lucent 330S', 2), ('Candle Inferno', 1)]",2890.0,78.16,-37.8233242,144.96744630000003,15,2534.66,Autumn,True,0.5579999999999999,five stars nice user friendly and dependable..,1.0
ORD279947,ID0660546026,2019-10-03,Bakers,"[('Universe Note', 2), ('Thunder line', 1), ('pearTV', 2), ('iStream', 2)]",22000.0,98.31,-37.8116662,144.9902029,0,22098.31,Spring,True,0.4798,"git 32 gb version instead of 64 gb phone looks good and build quality is good. cannot beat the price. product description talks about 64 gb memory but i received 32 gb model. hence i am returning the product. on another note , package doesn't contain english manual.",1.0
ORD009922,ID1838361787,2019-05-13,Nickolson,"[('Universe Note', 2), ('Olivia x460', 1), ('pearTV', 1), ('iAssist Line', 1)]",16660.0,62.93,-37.8115874,144.9648105,15,14223.93,Autumn,False,0.8845,verizon phone this phone worked perfectly. it was exactly what i needed for my verizon account. i had tried several different places for a phone and had no luck before.,1.0
ORD192518,ID2291073996,2019-06-19,Thompson,"[('Universe Note', 2), ('pearTV', 2), ('Lucent 330S', 1), ('Olivia x460', 2)]",23200.0,63.28,-37.8122663,144.9549714,5,22103.28,Winter,False,0.6964,the speakers on these devices are surprisingly good. the functionality of each thunder device is fantastic.,1.0
ORD429542,ID0145235381,2019-11-16,Nickolson,"[('Candle Inferno', 2), ('pearTV', 2), ('Toshika 750', 2), ('iStream', 2)]",22420.0,86.98,-37.8164539,144.9592888,0,22506.98,Spring,True,0.9334,crap. the phone we received couldn't be activated because ... crap. the phone we received couldn't be activated because verizon showed it was already activated by someone else. had to return it for a refund.,0.0
ORD050589,ID0767587063,2019-08-23,Nickolson,"[('pearTV', 2), ('Toshika 750', 1)]",16940.0,65.99,-37.8087203,144.97313490000005,10,15311.99,Winter,False,1.1435,"tablet work great, good battery life. just not a lot storage, but has micro sd card slot.",1.0
ORD320898,ID0702451781,2019-11-15,Thompson,"[('Lucent 330S', 2), ('Universe Note', 1), ('Alcon 10', 2), ('pearTV', 2)]",36430.0,59.96,-37.80447520000001,144.94263610000004,0,36489.96,Spring,False,0.9924,two stars i’m had a dent in the back,0.0
ORD293061,ID0052452483,2019-09-09,Thompson,"[('Candle Inferno', 2), ('iAssist Line', 1), ('Thunder line', 1), ('Universe Note', 2)]",12165.0,105.39,-37.8048255,144.9371377,10,11053.89,Spring,True,1.2353,i am very happy with the candle inferno hd 8. it is very easy to use.,1.0
ORD477469,ID0529158996,2019-06-02,Thompson,"[('iAssist Line', 1), ('Toshika 750', 2), ('Olivia x460', 2)]",13315.0,67.6,-37.823648299999995,144.940564,15,11385.35,Winter,False,1.349,worth the money. very good product.,1.0
ORD179173,ID3555788057,2019-06-15,Thompson,"[('iStream', 1), ('Alcon 10', 1)]",9100.0,62.87,-37.8078704,144.94106530000005,15,7797.87,Winter,False,0.7514,had a great experience my husband loves his new phone!,1.0
ORD352385,ID0581703514,2019-07-19,Thompson,"[('Candle Inferno', 2), ('Thunder line', 1)]",3040.0,70.53,-37.806144399999994,144.9277884,5,2958.53,Winter,False,1.8448,perfect perfect! only complaint was that the charger that came with the phone wasn't for an s6 but other than that... works great and looks great!,1.0
ORD434881,ID2189162943,2019-06-12,Thompson,"[('iStream', 2), ('Alcon 10', 2), ('Thunder line', 2)]",22560.0,62.91,-37.8117176,144.9563909,0,22622.91,Winter,True,0.8267,one star it freaz to dam much,0.0
ORD244304,ID4716795546,2019-12-15,Thompson,"[('Thunder line', 1), ('Lucent 330S', 1), ('iAssist Line', 2)]",7860.0,78.6899999999996,-37.8194003,144.95279019999995,10,7152.69,Summer,True,0.9022,this phone doesn't have an operating system. not sure ... this phone doesn't have an operating system. not sure how that happens with a new olivia 6. i want my money (over $300) back.,0.0
ORD063722,ID0589700520,2019-12-22,Thompson,"[('pearTV', 1), ('Toshika 750', 2), ('iAssist Line', 2)]",19400.0,80.55,-37.821308,144.9542643,25,14630.55,Summer,True,1.1508,fake fake beware this is a real cheap fake xp from china not made by xp has nothing working from the inside.,0.0
ORD493660,ID0387153035,2019-12-10,Thompson,"[('Candle Inferno', 2), ('Universe Note', 1), ('Thunder line', 1), ('Toshika 750', 1)]",10810.0,74.52,-37.809272299999996,144.94574440000005,0,10884.52,Summer,True,0.3961,"do not buy.. one day the phone would not charge at all. after looking for on the internet for the similar problem ,come to find out that it happens all the time. out of the clear blue it will not charger,and that will be the end of your phone. it happeed just afer the return warranties had expired.",0.0
ORD258648,ID0641029697,2019-10-20,Thompson,"[('Thunder line', 1), ('Olivia x460', 1), ('Alcon 10', 2)]",21305.0,76.56,-37.80963610000001,144.9403393,5,20316.31,Spring,False,0.6816,mahvelous phone love this phone! good deal as far as price and new phones go - they've gone through the roof.,1.0
ORD456217,ID0579512331,2019-08-17,Thompson,"[('Candle Inferno', 1), ('Thunder line', 2), ('Alcon 10', 1)]",13740.0,74.38,-37.813594200000004,144.94787340000005,0,13814.38,Winter,True,0.1246,very pleased item came as described and looks as if brand new. very pleased with service. love the phone except can't used data while talking on the phone and some apps require wi-fi to complete the app install. other than that the phone is amazing.,1.0
ORD138308,ID2279153646,2019-10-17,Nickolson,"[('Toshika 750', 1), ('Alcon 10', 1)]",13270.0,74.46999999999935,-37.8122037,144.9745305,0,13344.47,Spring,False,0.8354,love it i like it,1.0
ORD461832,ID6167344511,2019-05-28,Nickolson,"[('iAssist Line', 2), ('Toshika 750', 2), ('pearTV', 1)]",19400.0,68.15999999999985,-37.8068471,144.96579430000003,25,14618.16,Autumn,False,1.3488,four stars good phone for the price.,1.0
ORD087236,ID0777759693,2019-09-12,Thompson,"[('Lucent 330S', 1), ('Olivia x460', 1), ('Candle Inferno', 2)]",3315.0,104.04,-37.805958200000006,144.9572319,5,3253.29,Spring,True,1.1652,very good product very good,1.0
ORD252710,ID0777783313,2019-05-30,Thompson,"[('Alcon 10', 2), ('Toshika 750', 2), ('Candle Inferno', 1)]",26970.0,80.44,-37.8049127,144.9537365,5,25701.94,Autumn,True,1.0441,awesome phone but..... great phone works well and is better than expected but it just doesn't get 4g lte network with t-mobile everything else is great,1.0
ORD369342,ID2457712027,2019-05-15,Bakers,"[('Candle Inferno', 1), ('iStream', 1)]",580.0,82.87,-37.8037888,144.9780208,25,517.87,Autumn,True,1.6640000000000001,lucent g5s plus is a great phone at a reasonable price. lucent g5s plus is very powerful and easy to use once you have gotten acquainted with it. it's picture taking is very powerful and easy to use and exploring it's operations. it is a great phone at a very reasonable price.,1.0
ORD448606,ID0319860976,2019-09-21,Bakers,"[('pearTV', 1), ('iAssist Line', 2)]",10760.0,103.79,-37.80045689999999,144.99754109999995,15,9249.79,Spring,True,1.0811,amazing phone i bought this phone to use in haiti on gsm. it works very well. the phone is very interesting. i recommend you to buy it,1.0
ORD227374,ID0294624002,2019-07-01,Nickolson,"[('pearTV', 1), ('Olivia x460', 2)]",8760.0,60.55,-37.819111799999995,144.9644084,0,8820.55,Winter,True,0.4559,it’s not i wanted this damn phone is not unlocked”$???????????,0.0
ORD297202,ID1459890788,2019-02-15,Bakers,"[('Universe Note', 1), ('iStream', 2), ('Candle Inferno', 2)]",4610.0,84.35,-37.8199352,145.0128552,5,4463.85,Summer,False,1.9042,i love it exelente,1.0
ORD191879,ID3094966840,2019-07-25,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 1)]",1660.0,64.13,-37.80332979999999,144.9480135,10,1558.13,Winter,True,1.0434,no venden lo que ofrece no me llega lo que había comprado,0.0
ORD493744,ID0259616744,2019-05-03,Thompson,"[('Thunder line', 1), ('pearTV', 1)]",8490.0,77.76,-37.8086002,144.95204740000003,25,6445.26,Autumn,True,0.6303,i'm slowly getting it and i love all the bells and whistles my first smartphone. i'm slowly getting it and i love all the bells and whistles.,1.0
ORD185630,ID0711761743,2019-11-06,Thompson,"[('Universe Note', 2), ('Candle Inferno', 1)]",7330.0,96.74,-37.8149016,144.9448282,5,7060.24,Spring,True,0.3168,amazing phone for a good price love this phone!!!,1.0
ORD266946,ID0443264070,2019-01-12,Bakers,"[('Alcon 10', 2), ('Lucent 330S', 2), ('pearTV', 2)]",32980.0,80.77000000000044,-37.8225971,145.0031343,5,31411.77,Summer,False,1.5654,just ok very nice phone but after 2 months camara does not work well and the charger does not work properly,1.0
ORD382946,ID3148693048,2019-11-25,Nickolson,"[('Olivia x460', 2), ('Lucent 330S', 1), ('iStream', 1)]",3830.0,90.69,-37.8088582,144.97510590000005,25,2963.19,Spring,True,1.1889,not happy!.!.! can’t give a review on phone because when the package came everything was in there but the phone!.!. worst experience i’ve ever had on digico.,0.0
ORD498798,ID0746912550,2019-11-07,Nickolson,"[('pearTV', 2), ('Toshika 750', 2), ('Universe Note', 2), ('iStream', 1)]",28310.0,105.08,-37.825129,144.98281540000005,0,28415.08,Spring,True,1.3746,"perfect! i replaced a olivia s4 perfect! i replaced a olivia s4, and i chose the note5 because it is a little bigger, and i like the built-in stylus. i really enjoy using it. i like having the 64gb.",1.0
ORD351590,ID6167440976,2019-12-18,Nickolson,"[('iAssist Line', 2), ('Olivia x460', 1)]",5675.0,70.72,-37.81515039999999,144.963666,25,4326.97,Summer,False,0.6441,"running great couldnt be happier with this phone at a great week 2 update, running great couldnt be happier with this phone at a great price",1.0
